Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1978,,,,,,,,,,,65556.315,239632.784,152594.5495
1979,320266.65,541778.338,638262.988,423025.159,215587.216,61836.278,5758.1,0,4215.978,28430.871,83424.925,373071.537,224638.17
1980,645635.675,804540.706,811736.438,726018.225,391240.604,76716.315,6398.683,0,3898.599,26045.709,99417.714,428744.854,335032.7935
1981,667107.664,740832.575,739331.691,522117.381,249802.01,56882.429,6787.654,0,4060.381,24328.105,136245.138,415359.063,296904.5076
1982,532081.786,558589.084,611289.254,608333.754,411431.885,70625.949,6134.759,0,3373.778,30759.465,105219.629,308409.128,270520.7059
1983,636575.269,760695.371,786739.315,668697.379,286944.415,67727.742,7227.69,0,3216.116,41480.602,182314.968,227533.833,305762.725
1984,427775.676,816376.361,887004.782,807328.054,484305.662,78949.419,6540.846,0,1567.284,24320.58,86474.972,271105.886,324312.4602
1985,416043.944,466313.456,730472.921,788081.691,515452.361,101215.318,5385.605,40.415,2130.472,31882.355,115064.47,195823.128,280658.8447
1986,519480.613,636392.884,777921.415,659614.238,311178.372,51168.903,6143.237,0,2210.436,22529.05,70635.691,281321.6,278216.3699
1987,561124.82,691182.236,671618.616,632377.211,431538.396,106023.888,4591.168,0,2291.433,15970.546,95967.581,,292062.3541
1988,,640431.522,821867.307,759898.303,300144.818,55068.386,4141.753,0,2372.224,13232.419,149907.5,540480.96,298867.7447
1989,679315.367,521217.706,546235.158,402393.228,179738.568,55727.078,4921.399,0,2712.125,18754.489,107681.374,342257.292,238412.8153
1990,624200.636,792330.605,821893.996,666148.155,363879.557,52450.651,4879.789,0,1948.287,19234.569,82647.152,367205.434,316401.5693
1991,609435.208,864522.468,787839.642,741288.318,399779.152,70528.295,4376.425,0,2733.598,19767.504,75412.613,317609.474,324441.0581
1992,656104.893,709567.873,872115.973,726132.136,389103.742,89559.88,5545.45,0,2532.877,25187.44,149164.948,488093.443,342759.0546
1993,583229.582,705388.259,730694.691,590738.605,255897.519,42591.45,5952.583,0,2853.114,20836.399,55731.689,369336.12,280270.8343
1994,587804.185,590796.329,827088.352,774375.877,519311.29,69750.823,6457.124,0,3699.229,22757.868,161170.493,547677.641,342574.1009
1995,729434.928,874936.255,829461.726,786452.817,308879.495,57273.547,5407.229,0,3477.757,18523.568,64309.486,280108.323,329855.4276
1996,493750.922,599566.838,514754.023,461552.614,156890.778,61262.87,6301.954,0,2813.529,21686.393,72862.272,287408.345,223237.5448
1997,514421.096,709319.848,755854.804,591768.348,224353.105,36655.762,3501.394,0,1710.225,12250.369,55170.28,387378.434,274365.3054
1998,723294.151,915139.857,801618.631,636432.51,350867.903,54585.566,3794.138,0,1288.197,11618.707,53656.026,348285.008,325048.3912
1999,628488.408,805242.103,865705.654,879807.503,527445.648,102683.617,3754.427,0,1447.892,11473.029,147275.775,585570.586,379907.8868
2000,869251.703,751547.829,734070.397,696738.907,405993.361,93052.607,3346.354,0,1005.904,11998.74,57827.668,227380.682,321017.846
2001,499885.061,456461.274,578294.049,599199.807,339150.915,43613.247,3891.406,0,1086.855,17652.325,170211.028,449597.277,263253.6037
2002,739044.19,885428.56,661807.738,487704.569,216349.001,46126.565,3308.664,0,1005.474,15317.484,45227.001,188731.876,274170.9268
2003,475193.772,623103.122,628422.393,444014.837,115032.619,49138.712,2568.575,0,584.201,9163.66,40083.607,266019.019,221110.3764
2004,422770.175,658652.039,666744.189,550287.456,166623.905,50910.93,2783.779,0,403.342,15958.744,50726.027,281609.191,238955.8148
2005,427169.352,611388.387,622102.281,654400.194,271280.664,48534.944,2917.997,0,1949.663,9330.141,118256.753,486709.983,271170.0299
2006,752178.067,730360.885,662727.606,706492.977,458286.406,85642.124,3328.482,0,1488.86,10575.152,50190.928,243861.021,308761.0423
2007,639198.065,580888.883,788408.985,641675.235,331313.237,31863.293,2977.111,0,1709.774,8812.693,38306.851,174781.176,269994.6086
2008,608410.054,822213.695,997307.429,837775.073,455003.222,29122.493,1652.753,0,644.788,12127.774,94418.94,352453.233,350927.4545
2009,743809.138,839949.105,809567.13,918510.525,422447.821,45801.653,1634.777,0,563.888,9623.728,114347.973,408963.847,359601.6321
2010,650503.911,835350.925,936364.835,819200.228,441991.275,37209.212,2102.08,0,563.278,8270.157,28788.87,197368.72,329809.4576
2011,578746.52,672348.472,649501.131,621653.739,247983.574,22239.713,1771.369,0,1026.039,8126.239,91939.325,398920.257,274521.3648
2012,785602.415,944432.485,1060829.753,1036921.092,648741.402,120029.932,2023.022,0,602.667,9184.096,127962.611,423325.771,429971.2705
2013,688256.167,893149.33,903107.968,808484.101,455031.848,75263.166,1791.155,0,382.756,12142.752,43707.005,184607.683,338826.9943
2014,498804.799,588389.916,724940.174,559509.056,174003.624,48526.891,2334.368,0,845.387,9393.804,31279.413,178550.149,234714.7984
2015,327921.847,560202.899,565101.604,552706.534,152486.59,20433.701,2433.442,0,442.74,11888.77,38647.717,304328.896,211382.895
2016,472042.2,574573.842,635216.948,566074.265,139579.715,25217.446,2919.442,0,845.371,16740.209,33816.152,161882.425,219075.6679
2017,315348.037,540847.327,623677.216,435972.761,79238.469,23794.173,1945.374,0,482.039,10526.681,27021.802,98675.403,179794.1068
2018,250836.585,298998.281,304280.98,137096.218,26696.369,15800.86,2161.045,0,1045.789,16904.687,20749.391,222141.771,108059.3313
2019,503135.346,377497.032,289418.735,202313.293,64252.22,32185.203,2490.551,0,1707.377,11293.282,49957.406,151973.751,140518.683
2020,466524.938,708542.184,652598,414216.785,236263.303,43422.368,2161.744,0,944.181,13977.643,24795.001,168828.99,227689.5948
2021,461098.498,591635.798,598360.298,531742.038,302131.004,57748.135,3054.962,0,442.539,8541.643,121335.125,360205.99,253024.6692
2022,651717.22,779385.402,710314.085,578635.421,199031.792,43795.314,3015.211,0,1206.623,8506.979,41065.748,169363.165,265503.08
2023,531698.544,631496.345,612860.407,552903.799,317377.493,39601.476,16935.702,5629.804,1305.744,12255.644,26290.467,249819.451,249847.9063
