Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1978,,,,,,,,,,,3224681.689,3224681.689,3224681.689
1979,3224681.689,3224681.689,3224681.689,3224681.689,3224681.689,3223105.355,3212209.944,3184429.112,3033578.553,3167525.409,3208677.511,3224681.689,3198134.668
1980,3224681.689,3224681.689,3224681.689,3224681.689,3224594.025,3223813.288,3219850.138,3219739.202,3216200.972,3223575.663,3224681.689,3224681.689,3222988.619
1981,3224681.689,3224681.689,3224681.689,3224681.689,3224681.689,3224638.358,3223682.393,3222256.755,3209822.723,3224070.1,3224419.441,3224681.689,3223081.659
1982,3224681.689,3224681.689,3224681.689,3224681.689,3224681.689,3224377.494,3223135.643,3221831.185,3223546.181,3224271.942,3224637.938,3224550.505,3224146.611
1983,3224599.694,3224681.689,3223676.159,3224681.689,3224681.689,3224594.189,3223546.172,3203693.42,3170436.788,3196697.726,3224637.91,3224681.689,3215884.068
1984,3224637.95,3224244.671,3224681.689,3224681.689,3223861.622,3220880.257,3183801.649,3102940.112,3069717.012,3106509.483,3168771.985,3167369.715,3178508.153
1985,3192165.398,3214969.01,3212533.121,3224681.689,3223981.125,3219561.959,3208983.326,3105747.782,3081288.107,3186692.403,3223544.746,3224681.689,3193235.863
1986,3224681.689,3224635.01,3224681.689,3224681.689,3224681.689,3224681.689,3221108.33,3200120.221,3193759.28,3218822.827,3224332.045,3223738.015,3219160.348
1987,3208624.282,3224587.846,3224681.689,3224200.187,3224550.425,3224681.689,3223169.1,3217664.92,3217679.948,3224681.689,3224681.689,,3221745.769
1988,,3224568.824,3224660.334,3224659.783,3221016.531,3207607.344,3223876.938,3217888.841,3221206.24,3224681.689,3224659.846,3224681.689,3221773.46
1989,3224681.689,3224634.737,3224511.961,3224659.804,3219150.223,3224243.842,3224575.798,3224491.133,3215607.503,3205421.808,3216636.342,3224258.448,3221072.774
1990,3203457.818,3202180.418,3224533.154,3223851.544,3224681.689,3224571.81,3221267.87,3213590.549,3148249.915,3145394.183,3212506.32,3220699.998,3205415.439
1991,3218793.598,3217888.104,3224660.513,3224681.689,3224681.689,3224681.689,3223260.22,3201899.206,3173573.99,3214061.42,3224397.684,3224681.689,3216438.458
1992,3223685.869,3224613.425,3222032.79,3224375.306,3218579.651,3224594.089,3223579.83,3212798.46,3186858.098,3212412.676,3224528.743,3222545.681,3218383.718
1993,3224278.772,3219727.094,3224681.689,3224309.814,3224660.513,3222909.558,3224681.689,3208992.586,3208568.881,3220791.016,3212510.754,3221721.089,3219819.455
1994,3224639.355,3224681.689,3224681.689,3224572.254,3224660.442,3217768.262,3164864.416,3164105.761,3174193.916,3211118.716,3224659.577,3223370.68,3208609.73
1995,3224384.829,3223790.178,3224342.712,3210094.287,3222098.429,3224114.085,3197604.532,3135583.662,3151146.034,3147046.872,3224659.852,3224681.689,3200795.597
1996,3224618.002,3224681.689,3223329.571,3223718.88,3224639.325,3220115.101,3217624.438,3190981.501,3087791.618,3167795.315,3209677.371,3224576.003,3203295.735
1997,3224660.461,3224658.028,3224066.909,3224681.689,3219448.966,3218071.729,3220215.268,3215703.396,3189981.296,3209722.928,3224681.689,3224427.987,3218360.029
1998,3224512.568,3224681.689,3224681.689,3224681.689,3224681.689,3224681.689,3223583.143,3207807.372,3200806.963,3212707.618,3205712.272,3220893.874,3218286.021
1999,3221506.909,3221188.746,3224639.308,3224506.581,3224681.689,3224681.689,3208306.64,3124854.056,3091127.1,3171099.422,3196615.03,3220704.433,3196159.3
2000,3212857.822,3224681.689,3221099.402,3224681.689,3224681.689,3224681.689,3222820.835,3171000.39,3164083.865,3178142.95,3197982.819,3214802.888,3206793.144
2001,3221781.757,3211557.786,3224681.689,3224681.689,3218941.052,3221601.45,3198247.446,3136045.618,3053773.895,3105502.526,3223043.929,3223476.846,3188611.307
2002,3220533.226,3222712.715,3224681.689,3223543.185,3224681.689,3224418.474,3223961.602,3198622.943,3181028.601,3219374.517,3224484.963,3219773.397,3217318.083
2003,3220471.575,3224658.154,3224681.689,3224681.689,3224681.689,3224288.094,3224681.689,3223243.368,3217075.089,3220387.839,3218605.196,3222439.617,3222491.307
2004,3224681.689,3224160.627,3221930.704,3222361.602,3211418.731,3218902.004,3171611.046,3112884.761,3094378.935,3144131.325,3210889.506,3222058.908,3189950.82
2005,3221677.759,3212098.868,3224681.689,3224615.939,3224512.118,3224200.222,3216325.539,3139473.853,3065172.025,3203181.957,3224506.924,3216876.179,3199776.923
2006,3157956.792,3209277.448,3224639.479,3203598.131,3188691.666,3191652.138,3136053.653,3128765.605,3175794.673,3221425.504,3185111.458,3196664.811,3184969.28
2007,3211646.884,3220180.777,3224448.667,3224681.689,3224681.689,3223786.136,3194447.534,3081031.22,2747129.972,2986289.795,3182617.922,3198432.528,3143281.234
2008,3207077.959,3224364.996,3224681.689,3224681.689,3224681.689,3224681.689,3224067.276,3177204.54,3087798.357,3190232.997,3218998.765,3216834.447,3203775.508
2009,3224681.689,3224541.043,3224681.689,3224681.689,3221045.406,3223413.994,3210250.736,3199694.93,3125668.031,3040483.159,3149977.256,3191406.868,3188377.208
2010,3211736.254,3220372.638,3224639.291,3223806.067,3222586.737,3202664.46,3158959.485,3141316.046,3143210.596,3162080.297,3223544.863,3224681.689,3196633.202
2011,3224681.689,3224681.689,3224237.633,3223784.292,3223517.146,3211551.382,3179646.949,3085362.526,2997821.896,3113807.255,3196435.002,3221294.909,3177235.197
2012,3192619.115,3171267.114,3182391.748,3221577.786,3224427.895,3207020.062,3145855.126,2994116.551,2717902.4,3001942.274,3094969.13,3163740.225,3109819.119
2013,3142355.056,3201019.261,3223622.975,3220762.747,3209411.184,3219700.344,3105591.442,2935917.851,2773561.211,3020078.19,3154082.394,3211624.167,3118143.902
2014,3189508.536,3170354.072,3209795.387,3224681.689,3224597.057,3224681.689,3219827.352,3120252.44,3030627.598,3189353.516,3222867.324,3220874.218,3187285.073
2015,3215098.636,3214933.052,3221652.096,3222294.648,3222881.268,3189116.547,3168560.546,3075163.815,3060317.035,3105020.913,3141300.049,3177153.644,3167791.021
