Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1978,,,,,,,,,,,841156.405,1231642.667,1036399.536
1979,1231642.667,1231642.667,1231642.667,1231642.667,1225823.169,1158020.549,471781.906,164759.16,57580.66,134524.029,504707.851,1169741.93,817792.4935
1980,1231642.667,1231642.667,1231642.667,1231605.014,1223841.419,1091934.146,435000.874,151230.53,27085.877,91692.748,506012.392,1205061.97,804866.0809
1981,1231642.667,1231642.667,1231526.619,1231642.667,1227864.244,1131656.654,536757.591,95032.308,27650.551,60119.405,323947.328,1022655.939,779344.8867
1982,1231642.667,1231642.667,1231642.667,1231602.012,1229563.756,1149426.73,551266.921,120937.788,37024.288,114280.608,630696.961,1219757.642,831623.7256
1983,1231642.667,1231642.667,1231642.667,1231642.667,1231606.638,1192821.092,778952.164,248760.547,127403.848,166821.362,493207.654,1184267.617,862534.2992
1984,1231642.667,1231642.667,1231642.667,1231605.728,1219049.669,1114147.77,574644.237,159102.07,32605.196,88396.422,639059.603,1190992.779,828710.9563
1985,1231604.403,1231642.667,1231642.667,1231642.667,1229782.887,1110523.429,578116.217,137255.972,27595.681,73037.892,586503.967,1175145.673,820374.5102
1986,1231642.667,1231556.361,1231642.667,1231525.833,1227861.165,1126119.954,552016.316,144785.293,46035.582,182344.736,950227.176,1231642.667,865616.7014
1987,1231642.667,1231642.667,1231531.534,1231531.615,1226582.26,1167616.197,612926.97,164249.386,53302.572,87420.746,525548.521,,796726.8305
1988,,1231642.667,1231642.667,1227646.109,1229662.387,1082064.07,495626.879,130572.543,19472.258,50420.005,341052.016,1109074.808,740806.9463
1989,1231642.667,1231601.752,1231642.667,1231623.447,1225906.648,1115889.84,510696.172,157354.546,23282.217,107056.547,576415.254,1230634.983,822812.2283
1990,1231468.214,1231623.421,1231313.264,1231547.024,1218958.945,1042688.245,614185.91,175011.511,60892.282,173988.588,490134.487,1169104.173,822576.3387
1991,1231623.021,1231599.313,1231411.929,1231642.667,1230683.292,1139714.077,391347.167,146338.304,37577.116,84961.992,521179.761,1195477.08,806129.6433
1992,1231625.627,1231602.716,1231623.797,1231622.999,1230647.455,1202929.169,910024.042,279921.314,42067.759,65907.376,660349.614,1227596.617,878826.5404
1993,1231605.734,1231642.667,1231623.907,1231623.042,1216978.481,1102954.697,357738.703,139263.886,50108.884,65090.766,771600.029,1218995.879,820768.8896
1994,1231379.147,1231622.744,1231605.285,1231642.667,1213312.468,1119294.632,560516.646,104679.549,27135.372,56863.294,262419.958,1121721.51,782682.7727
1995,1231642.667,1231642.667,1231642.667,1230946.354,1211586.354,968495.529,369635.146,104302.173,18782.759,52961.491,413822.439,1203133.396,772382.8035
1996,1231642.667,1231642.667,1231642.667,1231642.667,1199137.387,1127050.325,547931.522,124233.894,20365.887,61626.974,316825.264,1058113.228,781821.2624
1997,1231642.667,1231642.667,1231642.667,1231642.667,1223339.369,1064855.903,403144.628,78312.169,17632.59,77961.101,413636.679,1131873.281,778110.5323
1998,1231642.667,1231642.667,1231642.667,1231563.209,1205557.926,808863.604,205775.718,91753.66,19925.554,34670.997,160570.399,764676.929,684857.1664
1999,1231567.631,1231642.667,1231568.214,1230132.548,1198840.368,753549.159,215221.774,117232.921,24244.645,51644.417,300134.245,896319.566,706841.5129
2000,1231642.667,1231642.667,1231625.533,1231642.667,1226349.043,1012134,450562.223,104328.237,17693.713,44398.967,330463.521,1110983.711,768622.2458
2001,1231604.881,1231642.667,1231306.097,1231642.667,1212140.756,793762.397,196011.472,106999.248,17502.835,33979.659,288907.575,948847.505,710362.3133
2002,1221043.893,1231642.667,1231642.667,1231642.667,1224096.874,1090785.192,432340.788,84012.815,17431.063,21502.591,339500.766,1167708.788,774445.8976
2003,1231568.494,1231642.667,1231624.335,1230943.772,1211710.375,985427.76,326912.468,69642.007,20554.248,29466.958,186786.985,963876.771,726679.7367
2004,1231341.801,1231540.142,1231623.985,1231412.888,1211721.222,1100281.906,575241.487,131990.614,23010.73,49071.729,376527.633,1170398.236,797013.5311
2005,1231459.841,1231563.27,1231623.555,1231310.521,1225450.076,971306.03,253179.87,43123.422,12661.611,23457.539,243974.356,1015691.386,726233.4564
2006,1231473.026,1231459.342,1231273.218,1231226.003,1193753.04,785863.702,159806.939,42255.798,13843.026,28246.288,114993.41,965291.947,685790.4783
2007,1231288.11,1231601.171,1231642.667,1231603.138,1206894.983,1013282.362,239480.285,85217.244,14646.832,35132.234,320904.088,1152864.637,749546.4793
2008,1231642.667,1231642.667,1231642.667,1231642.667,1217476.554,947419.848,347294.338,87195.525,12612.511,37218.547,300256.737,1079441.143,746290.4893
2009,1231642.667,1231642.667,1231642.667,1231642.667,1209779.238,1105052.742,440707.091,71653.327,14245.57,44301.169,236805.345,949315.305,749869.2046
2010,1230746.381,1231642.667,1231587.81,1231475.798,1192828.262,766382.837,165939.067,45954.131,13034.456,27006.774,69635.811,692785.362,658251.613
2011,1108800.922,1231642.667,1230997.719,1229366.805,1178240.05,872685.284,231036.65,67484.517,15468.593,33513.807,166074.041,959171.286,693706.8618
2012,1230791.117,1231642.667,1231642.667,1230592.214,1217165.418,922117.009,220171.986,66108.43,13402.51,26429.656,238028.139,1093878.864,726830.8898
2013,1231605.373,1231642.667,1231642.667,1231642.667,1230541.614,1021082.343,246924.567,79635.398,16745.526,33756.286,323008.346,1147493.909,752143.4469
2014,1231642.667,1231642.667,1231642.667,1231642.667,1231372.244,998635.167,269460.16,71696.84,12567.536,44677.238,357655.739,1191999.177,758719.5641
2015,1231642.667,1231642.667,1231642.667,1231623.28,1167629.172,965964.604,452440.679,100047.134,31764.726,56365.975,412886.79,1039174.055,762735.368
2016,1231642.667,1231642.667,1231642.667,1231642.667,1181937.575,1007571.238,339647.098,52780.555,12645.139,32609.197,167466.203,884653.704,717156.7814
2017,1231642.667,1231642.667,1231642.667,1231642.667,1209768.457,881648.573,203305.674,44193.756,15167.089,39923.305,352460.156,1090379.041,730284.7266
2018,1231642.667,1231642.667,1231642.667,1231642.667,1197938.401,1048767.361,427564.298,89768.116,14202.914,65349.842,478045.754,1170739.1,784912.2045
2019,1231642.667,1231642.667,1231642.667,1231642.667,1227961.193,987857.001,301154.825,32546.342,11960.232,21250.733,171338.581,1011787.075,724368.8875
2020,1230471.94,1231642.667,1231642.667,1230606.134,1176201.309,953982.167,309423.863,60269.212,15681.343,23635.499,355011.15,1092559.146,742593.9248
2021,1231642.667,1231642.667,1231642.667,1231407.505,1186653.209,938029.975,252062.227,75053.124,14219.472,19160.157,111156.406,804594.119,693938.6829
