Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1978,,,,,,,,,,,4997.086,30889.921,17943.5035
1979,129894.002,209284.568,198964.698,69567.644,39950.268,9299.037,0,0,0,0,4163.668,35715.843,58069.97733
1980,83523.083,209859.755,201507.825,68161.551,34907.684,6438.033,0,0,0,0,3962.027,42251.682,54217.63667
1981,144651.168,192301.575,71417.373,46018.769,35498.289,5953.794,0,0,0,0,4085.028,27758.715,43973.72592
1982,71321.71,203890.34,234511.573,84631.161,41695.983,6722.607,0,0,0,0,4793.096,31893.9,56621.6975
1983,97269.839,174947.932,161648.98,77375.331,35674.977,5990.822,0,0,0,0,5194.343,31798.543,49158.39725
1984,126374.986,225977.72,219233.627,97757.624,45224.342,6580.929,0,0,0,0,4219.438,30458.636,62985.6085
1985,174415.944,262808.002,254579.881,103266.678,52065.764,5118.298,0,0,0,0,5495.454,45591.517,75278.4615
1986,186426.082,268958.014,262913.947,103700.685,38587.792,3484.884,0,0,0,0,4051.916,36913.268,75419.71567
1987,153021.583,244926.587,226764.071,120165.223,32679.583,4801.313,0,0,0,0,10712.961,,72097.39282
1988,,241625.773,230334.944,107686.635,52070.946,6590.608,0,0,0,0,11158.209,46331.916,63254.45736
1989,174153.318,260837.059,260030.992,105732.275,52969.522,7922.496,0,0,0,0,11021.27,70381.877,78587.40075
1990,225266.958,279181.223,265450.497,132521.378,61779.908,5481.289,0,0,0,0,10564.845,45024.654,85439.22933
1991,184675.463,264898.879,240115.707,140954.405,48045.509,9670.571,0,0,0,0,10598.591,41267.844,78352.24742
1992,146734.809,253281.782,285349.012,167137.836,59660.315,5466.636,0,0,0,0,9362.562,41677.663,80722.55125
1993,177387.819,267942.794,267284.786,187865.963,52586.46,4436.186,0,0,0,0,9589.923,45308.441,84366.86433
1994,185543.49,280724.635,286027.946,180062.511,62404.767,6687.998,0,0,0,0,9207.362,39966.234,87552.07858
1995,109749.424,234737.3,249838.724,169875.185,53778.275,5687.929,0,0,0,0,9222.586,44493.999,73115.28517
1996,109396.429,224583.591,214724.394,80655.265,44084.357,6576.721,0,0,0,0,9467.441,49292.397,61565.04958
1997,86836.227,214424.273,251058.425,123968.503,52046.942,4795.213,0,0,0,0,7336.982,36770.166,64769.72758
1998,95964.408,202341.569,126884.562,64509.726,43375.84,5995.975,0,0,0,0,7225.141,36899.671,48599.741
1999,108817.132,217071.256,164522.989,70327.771,42543.285,5495.695,0,0,0,0,7144.862,39259.088,54598.5065
2000,82842.218,186038.192,99189.562,55933.584,43009.418,5826.138,0,0,0,0,7612.622,43651.579,43675.27608
2001,59245.573,163277.77,158954.505,81525.712,38084.558,6155.511,0,0,0,0,7586.606,34180.948,45750.93192
2002,64137.28,223849.068,168085.165,53003.274,35992.108,4951.408,0,0,0,0,7852.865,34314.877,49348.83708
2003,101683.011,248084.253,277970.431,97564.518,49404.644,5145.236,0,0,0,0,7411.211,39881.36,68928.722
2004,84770.261,169929.666,190534.378,85932.392,35584.717,4583.665,0,0,0,0,8083.931,42951.048,51864.1715
2005,102328.589,193373.722,190633.161,86042.94,36713.639,4763.243,0,0,0,0,8466.847,41547.809,55322.49583
2006,55171.758,114360.317,108440.644,63983.049,40367.77,5319.256,0,0,0,0,7160.65,33432.005,35686.28742
2007,67201.748,169663.27,165771.984,66844.699,38526.317,5055.54,0,0,0,0,7243.583,34838.956,46262.17475
2008,92110.442,209875.106,243892.537,95862.125,36324.035,5251.238,0,0,0,0,7038.771,37017.277,60614.29425
2009,122474.133,252115.345,234364.238,74130.864,32536.62,4105.507,0,0,0,0,6163.714,37103.853,63582.85617
2010,46958.763,84225.871,43951.945,47619.339,40463.992,5531.942,0,0,0,0,6792.646,47404.923,26912.45175
2011,47156.573,75038.557,80938.271,46944.308,34489.536,5429.628,0,0,0,0,7157.063,35324.498,27706.53617
2012,58047.539,142306.002,96924.604,56331.38,33707.607,4922.576,0,0,0,0,6859.255,40127.813,36602.23133
2013,63581.792,138972.411,90514.018,49991.886,36483.239,4767.66,0,0,0,0,7487.601,44600.645,36366.60433
2014,139340.434,251330.535,255375.123,127337.47,39492.228,5345.232,0,0,0,0,7880.607,37149.953,71937.63183
2015,94747.484,222272.179,247813.618,112875.645,32398.542,5307.009,0,0,0,0,7037.533,35060.61,63126.05167
2016,50571.478,103774.91,124165.955,48709.814,33536.207,5270.318,0,0,0,0,7041.147,37258.772,34194.05008
2017,51625.614,111043.072,144760.774,65749.574,40129.126,6444.496,0,0,0,0,7137.523,41017.982,38992.34675
2018,117266.714,205340.802,108956.931,56179.008,34990.209,3946.818,0,0,0,0,8558.057,36771.982,47667.54342
2019,104179.956,230039.859,216449.893,79799.227,32227.469,3897.218,0,0,0,0,8094.469,38154.59,59403.55675
2020,83532.51,193575.887,175595.362,54695.496,34014.71,4509.695,0,0,0,0,7287.024,37211.078,49201.8135
2021,43934.643,66308.927,78513.659,55189.118,34421.514,5328.581,0,0,0,0,7305.001,38506.629,27459.006
2022,68783.973,136771.965,152961.599,66899.559,34589.955,4367.409,0,0,0,0,7659.677,39460.225,42624.53017
2023,52017.162,89548.956,97194.68,66126.655,52740.743,11703.558,6136.79,0,0,0,9063.053,44625.618,35763.10125
